id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup
358,MS,1,17,U,,A,3,2,services,other,,mother,2,2,0,no,no
359,MS,M,18,U,,T,1,1,other,services,,father,2,1,0,no,no
360,MS,1,18,U,LE3,T,1,1,at_home,services,,father,2,3,0,no,no
361,MS,1,18,R,LE3,A,1,4,at_home,other,,mother,3,2,0,no,no
362,MS,M,18,R,,T,1,1,at_home,other,,mother,2,2,1,no,no
363,MS,1,18,U,,T,3,3,services,services,,mother,2,2,0,no,yes
364,MS,1,17,U,,T,4,4,at_home,at_home,,mother,1,2,0,no,yes
365,MS,1,17,R,,T,1,2,other,services,,father,2,2,0,no,no
366,MS,M,18,R,GT3,T,1,3,at_home,other,,mother,2,2,0,no,yes
367,MS,M,18,U,,T,4,4,teacher,services,,mother,2,3,0,no,no
368,MS,1,17,R,,T,1,1,other,services,,mother,3,1,1,no,yes
369,MS,1,18,U,,T,2,3,at_home,services,course,father,2,1,0,no,yes
370,MS,1,18,R,GT3,T,4,4,other,teacher,,father,3,2,0,no,yes
371,MS,1,19,U,,T,3,2,services,services,,other,2,2,2,no,no
372,MS,M,18,R,,T,1,2,at_home,services,,father,3,1,0,no,yes
373,MS,1,17,U,GT3,T,2,2,other,at_home,,mother,1,3,0,no,no
374,MS,1,17,R,,T,1,2,other,other,,mother,1,1,0,no,no
375,MS,1,18,R,,T,4,4,other,other,,mother,2,3,0,no,no
376,MS,1,18,R,,T,1,1,other,other,,mother,4,3,0,no,no
377,MS,1,20,U,,T,4,2,health,other,,other,2,3,2,no,yes
378,MS,1,18,R,,T,4,4,teacher,services,,mother,1,2,0,no,no
379,MS,1,18,U,,T,3,3,other,other,home,mother,1,2,0,no,no
380,MS,1,17,R,,T,3,1,at_home,other,reputation,mother,1,2,0,no,yes
381,MS,M,18,U,GT3,T,4,4,teacher,teacher,,father,1,2,0,no,no
382,MS,M,18,R,GT3,T,2,1,other,other,other,mother,2,1,0,no,no
383,MS,M,17,U,,T,2,3,other,services,,father,2,2,0,no,no
384,MS,M,19,R,,T,1,1,other,services,,mother,2,1,1,no,no
385,MS,M,18,R,,T,4,2,other,other,,father,2,1,1,no,no
386,MS,1,18,R,GT3,T,2,2,at_home,other,,mother,2,3,0,no,no
387,MS,1,18,R,,T,4,4,teacher,at_home,,mother,3,1,0,no,yes
388,MS,1,19,R,,T,2,3,services,other,,mother,1,3,1,no,no
389,MS,1,18,U,LE3,T,3,1,teacher,services,,mother,1,2,0,no,yes
390,MS,1,18,U,GT3,T,1,1,other,other,course,mother,2,2,1,no,no
391,MS,M,20,U,LE3,A,2,2,services,services,course,other,1,2,2,no,yes
392,MS,M,17,U,,T,3,1,services,services,,mother,2,1,0,no,no
393,MS,M,21,R,,T,1,1,other,other,,other,1,1,3,no,no
394,MS,M,18,R,,T,3,2,services,other,,mother,3,1,0,no,no
395,MS,M,19,U,,T,1,1,other,at_home,,father,1,1,0,no,no
